reviewId,anonymized_user,score,content,date
5d8efca3-ff2b-4f48-ae8a-227ce6f43fcf,사용자1265,5,중고차 가격검색을 하다가 알게된 케이카앱!!! 검색도 편리하게 되어있고 가격도 한눈에 볼수있어서 좋아요^^,2022-10-04 19:33:41
b4dd9c15-5797-48c3-bd4e-28aa043ab111,사용자1284,5,추천합니다!,2022-10-04 19:30:51
411a8ac7-8bdc-4209-ae8b-7624ffae9214,사용자1297,5,이용이 편리하고 좋습니다,2022-10-04 19:28:08
86af5b9b-25ff-430a-8ebf-46e8257e83a7,사용자1302,5,편리하고 친절해요,2022-10-04 19:27:17
e01318eb-d75e-4968-9276-05ea04b55c26,사용자1303,5,사용자 편리하게 인터페이스 이용할수잇고 믿은직한 매물이라 신뢰갑니다,2022-10-04 19:27:16
bd7bf4db-ba8d-4048-ba6b-1d44fb892896,사용자1310,5,어느때보다 유재석이 모델이니깐 믿어볼게요 국민엠씨가 추천해주는거니깐 그리고 침수차 보상은 획기적인데요,2022-10-04 19:26:22
e80fbd3c-acb2-468c-b42c-3012977eb89b,사용자1311,5,케이카앱이생겨서너무좋습니다!! 믿고쓰는케이카중고차앱이네요 앱메뉴가사용자들이쓰기편리하게구성되어있고내차팔기내차사기에렌트메뉴까지있어서중고차관련된것은케이카앱하나면되네요편리해서좋아요,2022-10-04 19:26:00
0ae07434-1e26-4e5e-9fe1-9321f60c0d59,사용자1321,5,지인추천에 써봤는데 진짜좋네요!,2022-10-04 19:23:52
6847c0b6-9fd0-42d0-bfda-341498537189,사용자1327,5,중고차 개인거래는 믿음이안가고 케이카는 믿음이갑니다 중고차 거래시 들리게되는곳입니다,2022-10-04 19:22:55
b85b40b0-f232-44a6-956e-7e4cc87a9ae0,사용자1343,5,케이카 최고네요!,2022-10-04 19:20:25
